flavor,density
Acai,0.926
Alpine Strawberry,0.958
Amaretto Sour,1
Apple,1.024
Apple,0.971
Apple Cider,1.02
Apple Cranberry,1.031
Apple Filling,0.958
Apple Pop,1.02
Apricot,1.04
Arabian Tobacco,1.019
Avocado,1.034
Back Bar Bitters,0.912
Banana,0.957
Basil,0.929
Beer Nuts,1.045
Berry Blend,1.025
Berry Cheesecake,1.075
Bing Cherry,0.953
Biscotti,1.004
Black Cherry,1.062
Black Currant,1.026
Blackberry Blossom,1.036
Black Tea,1.038
Blood Orange,0.852
Blueberry,1.041
Blueberry Muffin,1.007
Bourbon,0.995
Boysenberry,1.041
Brie Cheese,1.03
Brulee,1.143
Brut Bubble Wine,0.981
Bubble Gum,0.951
Butterscotch,1.021
Candy Roll,0.94
Cantaloupe,1.037
Caramel,1.005
Carrot,0.957
Cavendish,1.063
Cheesecake,1.062
Cherimoya,0.972
Cherry Blossom,0.933
Cherry Filling,1.037
Chocolate Deutsch,1.037
Cinnamon Crunch,0.946
Cinnamon Roll,0.885
Citrus Soda,0.911
Classic Cigarette,1.04
Clove,1.069
Coconut,0.885
Coffee,1.04
Cola,0.962
Commercial Cigarette,1.034
Connecticut Shade,1.045
Cookie,1.04
Cookie Dough,1.042
Cool Menthol,0.905
Cotton Candy,1.043
Cranberry,1.037
Cream,1.035
Cream and Cookies,1.074
Creme de Menthe,1.017
Crunch Cereal,0.933
Cucumber,1.031
Cupcake Batter,1.065
Cured Tobacco,1.116
Custard,1.012
Donuts,1.024
Dragon Fruit,1.071
Eggnog,0.942
Eisai Tea,1.036
Elderflower,0.841
Fig,0.939
Fire Cinnamon,0.974
Fried Dough,1.024
Frosting,1.063
Ginger,0.95
Ginger Peach,0.935
Ginger Snap,1.072
Graham Cracker,1.043
Granny Smith,1.019
Granola,0.984
Grape,1.002
Greek Yogurt,1.028
Green Apple,1.024
Green Tea,1.038
Guanabana,0.923
Hazelnut,1.104
Heat,1.01
Hibiscus,0.845
Honey Bee,1.039
Honeydew,1.044
Horchata,0.965
Ice,1.029
Irish Cream,0.978
Jackfruit,0.947
Jammy Berry,1.012
Juniper Gin,0.844
Kentucky Blend,1.123
Kinako Soy,1.036
Kiwi,1.025
Lembas Bread,1.021
Lemon,1.03
Lemon Grass,1.048
Lemon Tea,1.001
Lemonade,1.033
Lime,0.862
Lime Wedge,1
Lovage Root,1.037
Lychee,0.865
Macaroon,0.986
Mango,1.005
Maple Bar,1.03
Marshmallow,0.952
Marshmallow Treat,1.072
Marshmallow Vanilla,1.047
Melon Rind,1.034
Milk,1.028
Milk and Honey,1.064
Milk Chocolate,1.079
Mocha,1.038
Morning Mimosa,0.914
Moscato,1
Native Tobacco,1.108
Nectarine,1.041
Oak Barrel,1.04
Oatmeal Raisin,1.052
Orange Citrus,1.043
Oriental Tobacco,1.043
Papaya Punch,0.877
Passion Fruit,1.034
Pastry Zest,0.862
Peach,0.954
Peach Gummy,0.955
Peanut Butter,0.936
Pear,1.001
Peppermint,0.902
Persimmon,0.933
Persimmon Spice,0.897
Pineapple,0.871
Pink Fruit,1.037
Pink Guava,0.927
Pistachio,1.035
Popcorn,0.846
Pound Cake,1.056
Pralines,1.041
Pucker Tobacco,0.935
Pumpkin Bread,0.923
Pumpkin Spice,0.935
Rainier Cherry,1.29
Raisin Rum,1.04
Raspberry,0.994
Red Apple,0.919
Red Burley,1.111
Red Cinnamon,1.046
Red Raspberry,0.994
Red Tea,1.052
Red Velvet,1.052
Rhubarb,0.968
Rich Cinnamon,1.072
Root Beer,1.051
Rose Essence,1.037
Sangria,0.975
Smoked Butterscotch,1.043
Smooth Vanilla,1.086
Smoothie Base,0.929
Smore,1.043
Sour Apple,1.026
Soursop,0.923
Spearmint,0.943
Starch Base,1.05
Strawberry,1.086
Strawberry Cream,1.024
Strawberry Filling,1.086
Strawberry Smash,1.084
Sugar Orchid,1.096
Sun Cookie,1.061
Sweet and Smokey Tobacco,0.944
Sweet Cigarette,1.045
Sweet Coconut,0.994
Sweet Cream,0.933
Sweet Dough,1.059
Sweet Fig,0.932
Sweetness,1.02
Tangerine,0.956
Tatanka Tobacco,1.037
Tequila Agave,0.84
Thai Chai,0.946
Toffee,0.983
Tricks Cereal,0.938
Tropical Citrus,0.909
Tropical Punch,0.929
Turkish Tobacco,1.034
Vanilla Bean,1.039
Vanilla Custard,1.069
Vanilla Pudding,1.069
Virginia Tobacco,0.959
Waffle,0.957
Watermelon,1.039
Wheat,0.93
Whipped Cream,0.952
White Chocolate,1.047
Wild Melon,1.025
Wood Spice,0.868
Yakima Hops,0.943
Yam,1